model,dataset,comparison,limit_a,limit_b,acc_before,acc_after,delta_pp,p_value,cohens_h,significant
glm_4.7_355 billion_32b,arc-easy,4000→8000,4000,8000,0.96,0.98,2.0000000000000018,0.5577341459422835,0.11892173237233461,ns
glm_4.7_355 billion_32b,gpqa,300→500,300,500,0.14,0.3,15.999999999999998,0.05345607441062228,0.39228547286554183,ns
glm_4.7_355 billion_32b,gpqa,500→1000,500,1000,0.3,0.24,-6.0,0.49920739971501416,-0.13533410462845596,ns
glm_4.7_355 billion_32b,gpqa,1000→2000,1000,2000,0.24,0.22,-1.9999999999999991,0.8121725572476144,-0.04753484930511809,ns
glm_4.7_355 billion_32b,gpqa,2000→4000,2000,4000,0.22,0.34,12.000000000000002,0.18144920772142026,0.2686563127064322,ns
glm_4.7_355 billion_32b,gpqa,4000→8000,4000,8000,0.34,0.46,12.0,0.22067136191984682,0.24564390726097107,ns
kimi2.5_1t_32b_sctive,gsm8k,300→500,300,500,0.18,0.48,30.0,0.001422503586628876,0.6544875912725672,**
kimi2.5_1t_32b_sctive,gsm8k,500→1000,500,1000,0.48,0.6,12.0,0.22864426234107693,0.24136859514431963,ns
kimi2.5_1t_32b_sctive,gsm8k,1000→2000,1000,2000,0.6,0.62,2.0000000000000018,0.8375540834079844,0.041007930248632585,ns
kimi2.5_1t_32b_sctive,gsm8k,2000→4000,2000,4000,0.62,0.72,9.999999999999998,0.28762392696447625,0.2132328223568598,ns
kimi2.5_1t_32b_sctive,gsm8k,4000→8000,4000,8000,0.72,0.68,-3.9999999999999925,0.662520583540058,-0.08733077995918315,ns
kimi2.5_1t_32b_sctive,boolq,300→500,300,500,0.12,0.04,-7.999999999999999,0.1403686607716732,-0.30476737019868133,ns
kimi2.5_1t_32b_sctive,boolq,500→1000,500,1000,0.04,0.02,-2.0,0.5577341459422838,-0.11892173237233378,ns
kimi2.5_1t_32b_sctive,boolq,1000→2000,1000,2000,0.02,0.02,0.0,1.0,0.0,ns
kimi2.5_1t_32b_sctive,boolq,2000→4000,2000,4000,0.02,0.0,-2.0,0.31487864133641996,-0.2837941092083278,ns
kimi2.5_1t_32b_sctive,boolq,4000→8000,4000,8000,0.0,0.0,0.0,1.0,0.0,ns
kimi2.5_1t_32b_sctive,arc-easy,300→500,300,500,0.24,0.28,4.0000000000000036,0.6484182011551725,0.09125227730012075,ns
kimi2.5_1t_32b_sctive,arc-easy,500→1000,500,1000,0.28,0.92,64.0,6.490896709010485e-11,1.4528818957676233,***
kimi2.5_1t_32b_sctive,arc-easy,1000→2000,1000,2000,0.92,1.0,7.9999999999999964,0.041226833337163926,0.5735131044230966,*
kimi2.5_1t_32b_sctive,arc-easy,2000→4000,2000,4000,1.0,1.0,0.0,1.0,0.0,ns
kimi2.5_1t_32b_sctive,arc-easy,4000→8000,4000,8000,1.0,1.0,0.0,1.0,0.0,ns
kimi2.5_1t_32b_sctive,gpqa,300→500,300,500,0.16,0.26,10.0,0.2196078507971735,0.2471079222553323,ns
kimi2.5_1t_32b_sctive,gpqa,500→1000,500,1000,0.26,0.22,-4.000000000000001,0.6395751409486876,-0.09373108759647397,ns
kimi2.5_1t_32b_sctive,gpqa,1000→2000,1000,2000,0.22,0.28,6.000000000000003,0.4884223166225934,0.13878712660523884,ns
kimi2.5_1t_32b_sctive,gpqa,2000→4000,2000,4000,0.28,0.4,12.0,0.20529799730252218,0.2542407526054926,ns
kimi2.5_1t_32b_sctive,gpqa,4000→8000,4000,8000,0.4,0.6,19.999999999999996,0.04550026389635842,0.40271584158066154,*
qwenqwen3-32b_o1,gsm8k,300→500,300,500,0.16,0.28,12.000000000000002,0.14750139990263267,0.29216396126409716,ns
qwenqwen3-32b_o1,gsm8k,500→1000,500,1000,0.28,0.72,43.99999999999999,1.0825087815469203e-05,0.9111973467916465,***
qwenqwen3-32b_o1,gsm8k,1000→2000,1000,2000,0.72,0.96,24.0,0.001063114917158714,0.7124818118184115,**
qwenqwen3-32b_o1,gsm8k,2000→4000,2000,4000,0.96,0.98,2.0000000000000018,0.5577341459422835,0.11892173237233461,ns
qwenqwen3-32b_o1,gsm8k,4000→8000,4000,8000,0.98,0.98,0.0,1.0,0.0,ns
qwenqwen3-32b_o1,boolq,300→500,300,500,0.32,0.5,18.0,0.06726664653535175,0.3682678934366401,ns
qwenqwen3-32b_o1,boolq,500→1000,500,1000,0.5,0.44,-6.0,0.5477847557024214,-0.12028988239478822,ns
