model,dataset,comparison,limit_a,limit_b,acc_before,acc_after,delta_pp,p_value,cohens_h,significant
nvidiaOpenReasoning-Nemotron-7B,arc-easy,300→500,300,500,0.74,0.78,4.0000000000000036,0.6395751409486874,0.09373108759647408,ns
nvidiaOpenReasoning-Nemotron-7B,arc-easy,500→1000,500,1000,0.78,0.78,0.0,1.0,0.0,ns
nvidiaOpenReasoning-Nemotron-7B,arc-easy,1000→2000,1000,2000,0.78,0.84,5.999999999999995,0.44443882250403544,0.1533768346588582,ns
nvidiaOpenReasoning-Nemotron-7B,arc-easy,2000→4000,2000,4000,0.84,0.86,2.0000000000000018,0.7794345284272748,0.05603968427310946,ns
nvidiaOpenReasoning-Nemotron-7B,gpqa,300→500,300,500,0.32,0.44,12.0,0.21641081558524267,0.2479780110418519,ns
nvidiaOpenReasoning-Nemotron-7B,gpqa,500→1000,500,1000,0.44,0.58,13.999999999999996,0.16142946236708333,0.28098053534669853,ns
nvidiaOpenReasoning-Nemotron-7B,gpqa,1000→2000,1000,2000,0.58,0.46,-11.999999999999995,0.22976627046113807,-0.24077623298556938,ns
nvidiaOpenReasoning-Nemotron-7B,gpqa,2000→4000,2000,4000,0.46,0.52,6.0,0.5484262404761933,0.12009625438764804,ns
SkyworkSkywork-o1-Open-Llama-3.1-8B,gsm8k,300→500,300,500,0.58,0.82,24.0,0.008828760952818593,0.5338076126746452,**
SkyworkSkywork-o1-Open-Llama-3.1-8B,gsm8k,500→1000,500,1000,0.82,0.86,4.0000000000000036,0.5853789284609614,0.10930405330647419,ns
SkyworkSkywork-o1-Open-Llama-3.1-8B,gsm8k,1000→2000,1000,2000,0.86,0.86,0.0,1.0,0.0,ns
SkyworkSkywork-o1-Open-Llama-3.1-8B,gsm8k,2000→4000,2000,4000,0.86,0.86,0.0,1.0,0.0,ns
SkyworkSkywork-o1-Open-Llama-3.1-8B,boolq,300→500,300,500,0.54,0.54,0.0,1.0,0.0,ns
SkyworkSkywork-o1-Open-Llama-3.1-8B,boolq,500→1000,500,1000,0.54,0.54,0.0,1.0,0.0,ns
SkyworkSkywork-o1-Open-Llama-3.1-8B,boolq,1000→2000,1000,2000,0.54,0.54,0.0,1.0,0.0,ns
SkyworkSkywork-o1-Open-Llama-3.1-8B,boolq,2000→4000,2000,4000,0.54,0.54,0.0,1.0,0.0,ns
SkyworkSkywork-o1-Open-Llama-3.1-8B,arc-easy,300→500,300,500,0.56,0.6,3.9999999999999925,0.6853154748781805,0.08106803839554266,ns
SkyworkSkywork-o1-Open-Llama-3.1-8B,arc-easy,500→1000,500,1000,0.6,0.6,0.0,1.0,0.0,ns
SkyworkSkywork-o1-Open-Llama-3.1-8B,arc-easy,1000→2000,1000,2000,0.6,0.6,0.0,1.0,0.0,ns
SkyworkSkywork-o1-Open-Llama-3.1-8B,arc-easy,2000→4000,2000,4000,0.6,0.6,0.0,1.0,0.0,ns
SkyworkSkywork-o1-Open-Llama-3.1-8B,gpqa,300→500,300,500,0.4,0.42,1.9999999999999962,0.8388842053441177,0.040667267838419896,ns
SkyworkSkywork-o1-Open-Llama-3.1-8B,gpqa,500→1000,500,1000,0.42,0.38,-3.9999999999999982,0.6830913983096087,-0.08167519808705248,ns
SkyworkSkywork-o1-Open-Llama-3.1-8B,gpqa,1000→2000,1000,2000,0.38,0.38,0.0,1.0,0.0,ns
SkyworkSkywork-o1-Open-Llama-3.1-8B,gpqa,2000→4000,2000,4000,0.38,0.36,-2.0000000000000018,0.8359136007500891,-0.041428258169364574,ns
