model,dataset,token_limit,accuracy,n_samples,n_correct,avg_tokens,median_tokens,max_tokens,min_tokens,std_tokens,hit_limit_count,hit_limit_pct
QwenQwQ-32B-Preview,boolq,4000,0.88,50,44,145.5,60.0,4000,2,560.7021563747239,1,2.0
QwenQwQ-32B-Preview,boolq,8000,0.88,50,44,225.5,60.0,8000,2,1124.1410190061765,1,2.0
QwenQwQ-32B-Preview,arc-easy,300,0.62,50,31,242.82,288.0,300,37,80.27699240880965,24,48.0
QwenQwQ-32B-Preview,arc-easy,500,0.86,50,43,285.14,288.0,500,37,123.80795035630213,4,8.0
QwenQwQ-32B-Preview,arc-easy,1000,0.9,50,45,302.02,288.0,1000,37,170.76460585333513,1,2.0
QwenQwQ-32B-Preview,arc-easy,2000,0.9,50,45,310.4,288.0,1419,37,211.2076065420573,0,0.0
QwenQwQ-32B-Preview,arc-easy,4000,0.9,50,45,310.4,288.0,1419,37,211.2076065420573,0,0.0
QwenQwQ-32B-Preview,arc-easy,8000,0.9,50,45,310.4,288.0,1419,37,211.2076065420573,0,0.0
QwenQwQ-32B-Preview,gpqa,300,0.34,50,17,295.82,300.0,300,146,22.976198865036707,48,96.0
QwenQwQ-32B-Preview,gpqa,500,0.56,50,28,481.08,500.0,500,146,63.242920068380066,43,86.0
QwenQwQ-32B-Preview,gpqa,1000,0.54,50,27,810.52,961.5,1000,146,240.28632919914523,24,48.0
QwenQwQ-32B-Preview,gpqa,2000,0.58,50,29,1172.96,961.5,2000,146,634.8470797710875,13,26.0
QwenQwQ-32B-Preview,gpqa,4000,0.64,50,32,1486.68,961.5,4000,146,1149.9490572567613,3,6.0
QwenQwQ-32B-Preview,gpqa,8000,0.64,50,32,1587.5,961.5,8000,146,1472.5215808681544,1,2.0
