model,dataset,token_limit,accuracy,n_samples,n_correct,avg_tokens,median_tokens,max_tokens,min_tokens,std_tokens,hit_limit_count,hit_limit_pct
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,gpqa,500,0.54,50,27,499.12,500.0,500,456,6.222539674441618,49,98.0
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,gpqa,1000,0.7,50,35,975.24,1000.0,1000,456,89.13085083981063,45,90.0
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,gpqa,2000,0.68,50,34,1750.22,2000.0,2000,456,449.92186577907324,36,72.0
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,gpqa,4000,0.66,50,33,3206.7,4000.0,4000,456,1253.2306862909256,33,66.0
nvidiaOpenReasoning-Nemotron-7B,gsm8k,300,0.38,50,19,294.18,300.0,300,157,24.57366268913089,47,94.0
nvidiaOpenReasoning-Nemotron-7B,gsm8k,500,0.42,50,21,465.36,500.0,500,157,81.5789988981508,39,78.0
nvidiaOpenReasoning-Nemotron-7B,gsm8k,1000,0.52,50,26,794.84,1000.0,1000,157,281.6807687972398,28,56.00000000000001
nvidiaOpenReasoning-Nemotron-7B,gsm8k,2000,0.64,50,32,1296.04,1605.5,2000,157,723.8327679225135,22,44.0
nvidiaOpenReasoning-Nemotron-7B,gsm8k,4000,0.8,50,40,1816.92,1605.5,4000,157,1380.4416453898116,8,16.0
nvidiaOpenReasoning-Nemotron-7B,boolq,300,0.62,50,31,292.3,300.0,300,173,26.13953921177804,45,90.0
nvidiaOpenReasoning-Nemotron-7B,boolq,500,0.68,50,34,447.86,500.0,500,173,95.70554544315303,37,74.0
nvidiaOpenReasoning-Nemotron-7B,boolq,1000,0.68,50,34,765.82,966.0,1000,173,302.2947399408703,24,48.0
nvidiaOpenReasoning-Nemotron-7B,boolq,2000,0.7,50,35,1185.72,966.0,2000,173,725.0599142027323,19,38.0
nvidiaOpenReasoning-Nemotron-7B,boolq,4000,0.7,50,35,1761.98,966.0,4000,173,1500.1831519477064,13,26.0
nvidiaOpenReasoning-Nemotron-7B,arc-easy,300,0.74,50,37,293.72,300.0,300,199,21.612581369873144,45,90.0
nvidiaOpenReasoning-Nemotron-7B,arc-easy,500,0.78,50,39,435.16,483.5,500,199,91.05355230717306,22,44.0
nvidiaOpenReasoning-Nemotron-7B,arc-easy,1000,0.78,50,39,568.38,483.5,1000,199,257.87173603343575,10,20.0
nvidiaOpenReasoning-Nemotron-7B,arc-easy,2000,0.84,50,42,673.04,483.5,2000,199,471.1159985413705,1,2.0
nvidiaOpenReasoning-Nemotron-7B,arc-easy,4000,0.86,50,43,713.04,483.5,4000,199,640.5259943107345,1,2.0
nvidiaOpenReasoning-Nemotron-7B,gpqa,300,0.32,50,16,300.0,300.0,300,300,0.0,50,100.0
nvidiaOpenReasoning-Nemotron-7B,gpqa,500,0.44,50,22,499.92,500.0,500,496,0.565685424949238,50,100.0
nvidiaOpenReasoning-Nemotron-7B,gpqa,1000,0.58,50,29,972.62,1000.0,1000,496,108.46477656410877,46,92.0
nvidiaOpenReasoning-Nemotron-7B,gpqa,2000,0.46,50,23,1861.8,2000.0,2000,496,391.2609651589881,43,86.0
nvidiaOpenReasoning-Nemotron-7B,gpqa,4000,0.52,50,26,3408.72,4000.0,4000,497,1055.4826546588602,34,68.0
SkyworkSkywork-o1-Open-Llama-3.1-8B,gsm8k,300,0.58,50,29,258.36,282.0,300,94,50.173071889781106,24,48.0
SkyworkSkywork-o1-Open-Llama-3.1-8B,gsm8k,500,0.82,50,41,290.88,282.0,500,94,89.81196684047791,2,4.0
SkyworkSkywork-o1-Open-Llama-3.1-8B,gsm8k,1000,0.86,50,43,292.84,282.0,555,94,94.85894146315466,0,0.0
SkyworkSkywork-o1-Open-Llama-3.1-8B,gsm8k,2000,0.86,50,43,292.84,282.0,555,94,94.85894146315466,0,0.0
SkyworkSkywork-o1-Open-Llama-3.1-8B,gsm8k,4000,0.86,50,43,292.84,282.0,555,94,94.85894146315466,0,0.0
SkyworkSkywork-o1-Open-Llama-3.1-8B,boolq,300,0.54,50,27,102.6,72.0,300,16,81.02355414649874,6,12.0
SkyworkSkywork-o1-Open-Llama-3.1-8B,boolq,500,0.54,50,27,126.6,72.0,500,16,143.33035908953374,6,12.0
SkyworkSkywork-o1-Open-Llama-3.1-8B,boolq,1000,0.54,50,27,186.6,72.0,1000,16,305.29463854861683,6,12.0
SkyworkSkywork-o1-Open-Llama-3.1-8B,boolq,2000,0.54,50,27,306.6,72.0,2000,16,632.5819459701224,6,12.0
SkyworkSkywork-o1-Open-Llama-3.1-8B,boolq,4000,0.54,50,27,546.6,72.0,4000,16,1288.642981858776,6,12.0
SkyworkSkywork-o1-Open-Llama-3.1-8B,arc-easy,300,0.56,50,28,250.12,300.0,300,86,69.93164009026447,27,54.0
SkyworkSkywork-o1-Open-Llama-3.1-8B,arc-easy,500,0.6,50,30,342.78,320.0,500,86,154.49460594242808,22,44.0
SkyworkSkywork-o1-Open-Llama-3.1-8B,arc-easy,1000,0.6,50,30,553.28,320.0,1000,86,391.5993912984367,21,42.0
SkyworkSkywork-o1-Open-Llama-3.1-8B,arc-easy,2000,0.6,50,30,973.28,320.0,2000,86,885.903137470227,21,42.0
SkyworkSkywork-o1-Open-Llama-3.1-8B,arc-easy,4000,0.6,50,30,1813.28,320.0,4000,86,1881.276564420217,21,42.0
SkyworkSkywork-o1-Open-Llama-3.1-8B,gpqa,300,0.4,50,20,297.26,300.0,300,184,16.61178583330006,48,96.0
SkyworkSkywork-o1-Open-Llama-3.1-8B,gpqa,500,0.42,50,21,464.08,500.0,500,184,69.90075763800667,36,72.0
SkyworkSkywork-o1-Open-Llama-3.1-8B,gpqa,1000,0.38,50,19,736.16,748.0,1000,184,275.6099995223952,23,46.0
SkyworkSkywork-o1-Open-Llama-3.1-8B,gpqa,2000,0.38,50,19,1074.04,748.0,2000,184,689.6802264048736,16,32.0
SkyworkSkywork-o1-Open-Llama-3.1-8B,gpqa,4000,0.36,50,18,1714.04,748.0,4000,184,1604.1319218995495,16,32.0
